Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Buenos Aires,LOBERIA,34.0,1302,30.0,1865,10.0,1638,18106
Buenos Aires,SAN MIGUEL,102.0,24752,92.0,37035,93.0,30653,327650
Buenos Aires,CHASCOMUS,33.0,3167,38.0,4976,18.0,4223,42191
Buenos Aires,GENERAL LA MADRID,21.0,866,16.0,1263,8.0,980,11535
Buenos Aires,DOLORES,20.0,2569,22.0,3369,9.0,2998,31405
Buenos Aires,BALCARCE,47.0,3638,38.0,5070,20.0,4268,48516
Buenos Aires,PUNTA INDIO,16.0,936,14.0,1384,6.0,1047,12161
Buenos Aires,GENERAL VIAMONTE,25.0,1801,18.0,2538,9.0,2039,22530
Buenos Aires,CAÑUELAS,34.0,6225,38.0,9538,30.0,7497,70542
Buenos Aires,BRAGADO,28.0,3360,22.0,4807,16.0,4203,46227
Buenos Aires,SAN ANTONIO DE ARECO,34.0,2120,18.0,2873,10.0,2569,26695
Buenos Aires,ROJAS,31.0,1851,23.0,2724,9.0,2362,25619
Buenos Aires,ROQUE PEREZ,29.0,1104,25.0,1572,6.0,1316,13901
Buenos Aires,RAUCH,22.0,1197,24.0,1761,7.0,1519,16491
Buenos Aires,SALTO,30.0,3175,20.0,4405,14.0,3794,39257
Buenos Aires,MARCOS PAZ,29.0,5973,24.0,8477,18.0,7148,64761
Buenos Aires,GENERAL ALVARADO,30.0,3570,20.0,4822,19.0,4254,45307
Buenos Aires,COLON,22.0,2014,16.0,2851,11.0,2561,27406
Buenos Aires,PILA,13.0,408,15.0,592,2.0,441,4615
Buenos Aires,LAS FLORES,24.0,1982,39.0,2771,10.0,2543,27136
Buenos Aires,ALBERTI,18.0,904,13.0,1378,6.0,1198,12906
Buenos Aires,SAN CAYETANO,10.0,615,10.0,865,3.0,747,8918
Buenos Aires,MONTE HERMOSO,8.0,596,3.0,942,3.0,782,8444
Buenos Aires,VILLA GESELL,15.0,2583,12.0,4267,12.0,3801,37325
Córdoba,CALAMUCHITA,54.0,5902,65.0,8474,28.0,7104,75462
Córdoba,COLON,97.0,24253,97.0,34951,64.0,29481,294511
Córdoba,RIO CUARTO,142.0,21670,154.0,28900,86.0,24194,277979
Córdoba,MINAS,20.0,371,25.0,499,9.0,454,4855
Córdoba,RIO SECO,29.0,1324,37.0,1890,8.0,1619,15275
Corrientes,GENERAL ALVEAR,10.0,873,12.0,1086,2.0,936,9051
Chaco,INDEPENDENCIA,16.0,2318,28.0,3020,4.0,2776,21948
Chaco,LIBERTAD,13.0,1282,11.0,1682,5.0,1357,13775
Chaco,GENERAL GUEMES,66.0,6921,182.0,9486,57.0,7565,68429
Chaco,LIBERTADOR GENERAL SAN MARTIN,42.0,6514,77.0,8406,17.0,6903,65304
Chaco,SARGENTO CABRAL,8.0,1769,22.0,2286,2.0,1912,18696
Chubut,LANGUIÑEO,3.0,236,2.0,297,5.0,269,2862
Chubut,GAIMAN,12.0,998,9.0,1396,8.0,1244,12505
Chubut,MARTIRES,1.0,64,1.0,74,1.0,54,744
Entre Ríos,FEDERACION,66.0,6876,76.0,9326,25.0,7362,78264
Entre Ríos,TALA,39.0,2477,47.0,3601,13.0,2963,31091
Formosa,LAISHI,17.0,1725,19.0,2496,12.0,2230,19275
Jujuy,RINCONADA,4.0,170,4.0,292,6.0,187,1797
La Pampa,RANCUL,10.0,853,11.0,1281,9.0,1164,11090
La Pampa,LIHUEL CALEL,1.0,39,1.0,52,1.0,44,428
La Rioja,GENERAL ANGEL V PEÑALOZA,10.0,255,16.0,392,10.0,296,3184
La Rioja,ROSARIO VERA PEÑALOZA,21.0,1310,34.0,1900,20.0,1616,15764
Mendoza,GENERAL ALVEAR,56.0,4069,43.0,6260,12.0,4846,52379
Mendoza,JUNIN,40.0,3662,27.0,5299,11.0,4319,46472
Mendoza,LA PAZ,13.0,1018,11.0,1499,3.0,1108,12018
Mendoza,LAVALLE,56.0,4526,40.0,6674,15.0,5019,47086
Misiones,25 DE MAYO,45.0,3369,67.0,4288,32.0,3286,30877
Misiones,ELDORADO,61.0,8721,68.0,12100,17.0,9635,91133
Misiones,CAINGUAS,86.0,6425,95.0,8762,55.0,6766,59875
Salta,ORAN,69.0,16651,59.0,22746,22.0,18047,159715
Salta,IRUYA,3.0,676,4.0,930,2.0,785,6116
Salta,CAFAYATE,11.0,1430,10.0,2378,5.0,1887,17822
Salta,CHICOANA,19.0,2069,18.0,3014,4.0,2568,24715
San Juan,VALLE FERTIL,19.0,772,21.0,963,20.0,801,8425
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,104.0,19681,102.0,28921,94.0,27055,260769
San Luis,GOBERNADOR DUPUY,13.0,1283,14.0,1708,17.0,1593,14334
Santa Cruz,CORPEN AIKE,5.0,1456,4.0,1949,6.0,1497,15035
Santa Cruz,DESEADO,37.0,10716,44.0,16156,30.0,13468,126266
Santa Fe,SAN CRISTOBAL,111.0,5906,111.0,8274,42.0,6990,72593
Santa Fe,SAN JAVIER,35.0,3076,40.0,4011,13.0,3004,33180
Santiago del Estero,BELGRANO,7.0,1033,12.0,1293,5.0,1074,10809
Tucumán,FAMAILLA,25.0,4239,23.0,5489,16.0,4607,42669
Tucumán,CHICLIGASTA,47.0,7651,41.0,10719,28.0,8977,92308
Tierra del Fuego,USHUAIA,27.0,6135,25.0,8898,18.0,7210,80009
Buenos Aires,GENERAL PUEYRREDON,228.0,41427,169.0,62565,169.0,57730,660569
Buenos Aires,GENERAL SAN MARTIN,128.0,28038,96.0,44539,93.0,39634,444503
Buenos Aires,CAMPANA,63.0,8120,42.0,12587,42.0,10846,107976
Buenos Aires,VILLARINO,38.0,2586,35.0,3677,15.0,3288,32552
Buenos Aires,MONTE,25.0,1922,18.0,3031,10.0,2380,24616
Buenos Aires,CARLOS TEJEDOR,27.0,1107,19.0,1557,9.0,1266,14007
Buenos Aires,GENERAL VILLEGAS,39.0,2797,32.0,4006,16.0,3428,35055
Buenos Aires,BRANDSEN,24.0,2588,22.0,3997,16.0,3510,32350
Buenos Aires,GENERAL PAZ,19.0,1095,25.0,1705,6.0,1390,14141
Buenos Aires,RIVADAVIA,19.0,1734,20.0,2317,10.0,1873,19735
Buenos Aires,OLAVARRIA,84.0,8554,73.0,13055,42.0,11526,122011
Buenos Aires,ESTEBAN ECHEVERRIA,80.0,27670,71.0,41112,70.0,34241,337880
Buenos Aires,TIGRE,149.0,32611,111.0,51961,109.0,45401,446291
Buenos Aires,EXALTACION DE LA CRUZ,22.0,3424,21.0,4920,14.0,3860,40036
Buenos Aires,LAPRIDA,20.0,901,15.0,1366,5.0,1152,11496
Buenos Aires,GUAMINI,27.0,822,18.0,1189,8.0,1063,11662
Buenos Aires,CASTELLI,13.0,760,17.0,1013,3.0,904,9551
Córdoba,POCHO,21.0,377,28.0,472,5.0,471,5070
Córdoba,SAN JAVIER,49.0,4809,52.0,7043,19.0,5838,62700
Córdoba,JUAREZ CELMAN,48.0,5605,55.0,7504,22.0,6295,68317
Corrientes,MBURUCUYA,13.0,1002,16.0,1317,3.0,1230,11541
Corrientes,ITATI,11.0,1136,11.0,1491,6.0,1164,11946
Chaco,O HIGGINS,26.0,2090,33.0,3018,4.0,2575,21544
Chaco,SAN LORENZO,15.0,1707,30.0,2119,2.0,1694,16045
Chaco,CHACABUCO,25.0,3114,33.0,4114,10.0,3194,34493
Chubut,RAWSON,86.0,10491,49.0,15641,27.0,13427,144420
Chubut,BIEDMA,45.0,8111,27.0,12244,17.0,10407,102806
Entre Ríos,SAN SALVADOR,21.0,1743,19.0,2487,5.0,2170,20786
Entre Ríos,FELICIANO,28.0,1461,30.0,2002,10.0,1752,16717
Jujuy,HUMAHUACA,23.0,1752,25.0,2892,19.0,2366,20877
Jujuy,TUMBAYA,11.0,375,11.0,631,5.0,468,5298
Jujuy,COCHINOCA,14.0,1322,14.0,2002,8.0,1782,14998
La Pampa,REALICO,9.0,1232,12.0,1924,11.0,1672,17356
La Pampa,LIMAY MAHUIDA,2.0,33,2.0,46,1.0,24,413
La Pampa,GUATRACHE,5.0,690,7.0,894,6.0,827,9397
La Rioja,CHILECITO,34.0,4579,31.0,7038,17.0,6402,58681
Mendoza,SAN RAFAEL,162.0,17237,130.0,24756,51.0,19958,213204
Mendoza,MALARGUE,29.0,2811,22.0,4345,12.0,3426,32596
Misiones,MONTECARLO,33.0,3674,36.0,5313,15.0,4258,38620
Misiones,CANDELARIA,24.0,3758,30.0,4979,10.0,3937,34945
Neuquén,ÑORQUIN,8.0,440,10.0,646,2.0,522,5572
Neuquén,CONFLUENCIA,155.0,34739,153.0,52500,69.0,42174,467217
Neuquén,LACAR,20.0,2801,19.0,4460,7.0,3818,39567
Salta,GENERAL JOSE DE SAN MARTIN,76.0,19509,77.0,25874,34.0,20452,177448
Salta,GUACHIPAS,7.0,314,10.0,403,2.0,332,3491
San Juan,RAWSON,37.0,11959,49.0,16891,23.0,14120,136582
San Juan,SARMIENTO,23.0,2876,26.0,3853,20.0,3304,27188
San Juan,9 DE JULIO,5.0,1295,5.0,1704,2.0,1390,12498
San Luis,LIBERTADOR GRL SAN MARTIN,10.0,327,27.0,445,34.0,444,4691
San Luis,CHACABUCO,13.0,1946,23.0,2742,23.0,2612,26522
San Luis,GENERAL PEDERNERA,60.0,11922,64.0,17217,58.0,15346,148671
Santa Cruz,MAGALLANES,5.0,1110,3.0,1739,3.0,1324,12828
Santa Fe,LA CAPITAL,214.0,42937,174.0,60178,117.0,51318,568259
Santa Fe,VERA,87.0,4985,92.0,6546,27.0,5536,55463
Santiago del Estero,AGUIRRE,10.0,804,13.0,1064,5.0,941,8959
Santiago del Estero,CHOYA,40.0,3746,48.0,5276,31.0,4520,43692
Santiago del Estero,QUEBRACHOS,27.0,1286,43.0,1585,14.0,1324,12336
Tucumán,RIO CHICO,30.0,5525,30.0,7740,25.0,6483,64927
Tucumán,SIMOCA,52.0,3132,52.0,4427,33.0,3591,36946
Buenos Aires,HURLINGHAM,60.0,11620,46.0,18866,48.0,16751,185361
Buenos Aires,25 DE MAYO,62.0,2706,47.0,3733,17.0,3238,35411
Buenos Aires,CORONEL SUAREZ,54.0,2881,34.0,4418,22.0,3537,41713
Buenos Aires,SAAVEDRA,26.0,1436,18.0,2109,10.0,1799,21407
Buenos Aires,MORENO,127.0,50791,134.0,76357,134.0,60359,575758
Buenos Aires,CARMEN DE ARECO,30.0,1443,19.0,1927,9.0,1709,17345
Buenos Aires,CORONEL PRINGLES,32.0,1890,24.0,2791,10.0,2166,24110
Buenos Aires,SAN NICOLAS,66.0,12727,56.0,17845,50.0,15225,166657
Buenos Aires,RAMALLO,16.0,3451,24.0,4707,11.0,4088,39648
Buenos Aires,9 DE JULIO,49.0,3963,38.0,5830,20.0,4999,52366
Buenos Aires,QUILMES,203.0,47353,146.0,70881,153.0,60085,631774
Buenos Aires,BERAZATEGUI,120.0,25806,92.0,41462,95.0,35467,358328
Buenos Aires,ESCOBAR,88.0,21900,75.0,31983,76.0,25714,256071
Buenos Aires,BAHIA BLANCA,124.0,22621,94.0,33944,80.0,28746,334505
Ciudad de Buenos Aires,CIUDAD DE BUENOS AIRES,1282.0,155314,878.0,236991,461.0,210663,3095454
Buenos Aires,MAIPU,14.0,861,12.0,1234,5.0,995,11253
Buenos Aires,CAPITAN SARMIENTO,17.0,1180,12.0,1713,6.0,1441,15882
Buenos Aires,AYACUCHO,26.0,1699,36.0,2442,12.0,2150,21757
Catamarca,LA PAZ,28.0,2352,51.0,3146,16.0,2844,26341
Corrientes,GENERAL PAZ,28.0,1425,27.0,1916,10.0,1636,17016
Corrientes,SAN MARTIN,17.0,1512,24.0,1980,8.0,1694,15164
Corrientes,SANTO TOME,50.0,6984,49.0,9454,17.0,7725,71922
Corrientes,BERON DE ASTRADA,2.0,231,4.0,301,2.0,288,2808
Corrientes,SAUCE,14.0,922,17.0,1251,5.0,1114,10382
Chaco,SAN FERNANDO,212.0,31821,135.0,45514,91.0,36791,413764
Chaco,BERMEJO,25.0,2560,28.0,3431,10.0,2793,28060
Chaco,2 DE ABRIL,8.0,745,17.0,895,3.0,768,8310
Chaco,GENERAL DONOVAN,13.0,1285,16.0,1794,4.0,1513,15061
Chubut,CUSHAMEN,20.0,2022,16.0,3216,12.0,2710,28099
Chubut,TEHUELCHES,4.0,464,3.0,754,2.0,546,5947
Chubut,RIO SENGUER,8.0,565,7.0,746,7.0,517,6347
Entre Ríos,GUALEGUAYCHU,114.0,9410,111.0,13745,36.0,11683,125176
Entre Ríos,VILLAGUAY,80.0,4679,93.0,6258,22.0,5445,55284
Entre Ríos,DIAMANTE,61.0,3847,56.0,5216,25.0,4404,52312
Formosa,MATACOS,5.0,1918,17.0,2539,7.0,2024,17017
Formosa,FORMOSA,110.0,21127,88.0,30764,51.0,26381,268572
Jujuy,SAN PEDRO,49.0,7205,40.0,10745,25.0,8540,88237
Jujuy,PALPALA,23.0,4800,22.0,7650,12.0,6532,65522
Jujuy,TILCARA,11.0,1063,9.0,1787,7.0,1565,14621
La Pampa,CHAPALEUFU,9.0,960,9.0,1353,9.0,1136,12277
La Pampa,CHALILEO,1.0,201,2.0,354,2.0,270,2868
La Pampa,CALEU CALEU,2.0,194,3.0,325,1.0,283,2611
La Rioja,CORONEL FELIPE VARELA,16.0,829,18.0,1249,6.0,1001,11371
La Rioja,GENERAL BELGRANO,17.0,621,20.0,784,15.0,728,7615
La Rioja,GENERAL JUAN F QUIROGA,19.0,337,25.0,406,19.0,417,4013
Mendoza,SANTA ROSA,34.0,1765,22.0,2509,4.0,1897,19379
Mendoza,MAIPU,85.0,18163,69.0,26442,30.0,21528,218887
Misiones,GUARANI,90.0,8802,139.0,11433,56.0,8836,77075
Misiones,GENERAL MANUEL BELGRANO,69.0,5458,85.0,6918,45.0,5169,45456
Misiones,SAN PEDRO,46.0,4462,76.0,5727,30.0,4161,34690
Neuquén,PICUNCHES,8.0,721,8.0,1097,2.0,793,8471
Neuquén,AÑELO,6.0,1908,8.0,2480,4.0,1881,18150
Neuquén,PICUN LEUFU,5.0,391,5.0,631,0.0,445,5087
Río Negro,PILCANIYEU,4.0,598,9.0,1107,4.0,821,9309
Salta,SAN CARLOS,15.0,674,15.0,1102,5.0,812,7779
Salta,CERRILLOS,23.0,5342,18.0,8047,8.0,6079,55713
San Juan,SANTA LUCIA,16.0,5620,18.0,7756,9.0,6279,62697
San Juan,POCITO,26.0,7282,27.0,10435,14.0,8555,72879
San Juan,JACHAL,32.0,2155,34.0,2781,27.0,2398,25269
San Luis,AYACUCHO,15.0,2003,44.0,2770,37.0,2471,23653
Santa Cruz,LAGO BUENOS AIRES,4.0,1298,3.0,1616,4.0,1174,12584
Santiago del Estero,AVELLANEDA,26.0,2758,44.0,3527,21.0,3231,25462
Santiago del Estero,MITRE,5.0,112,10.0,143,4.0,160,1440
Santiago del Estero,RIO HONDO,69.0,6377,68.0,8569,46.0,6856,66637
Tucumán,YERBA BUENA,37.0,8420,32.0,11860,29.0,10036,102589
Buenos Aires,JUNIN,61.0,7543,46.0,10433,34.0,8728,100964
Buenos Aires,JOSE C. PAZ,57.0,29597,62.0,42316,62.0,34014,326527
Buenos Aires,MALVINAS ARGENTINAS,85.0,25943,81.0,40319,86.0,34959,349401
Buenos Aires,TRENQUE LAUQUEN,57.0,4016,46.0,5326,16.0,4442,49128
Buenos Aires,MAGDALENA,30.0,1935,23.0,2768,15.0,2260,22653
Buenos Aires,BENITO JUAREZ,18.0,1608,13.0,2277,10.0,2015,21185
Buenos Aires,ALMIRANTE BROWN,156.0,43762,137.0,67913,145.0,58227,583209
Buenos Aires,PERGAMINO,77.0,8676,56.0,12264,39.0,10389,114988
Buenos Aires,VICENTE LOPEZ,150.0,14893,76.0,22610,67.0,21312,280541
Buenos Aires,ADOLFO GONZALES CHAVES,24.0,950,16.0,1401,10.0,1170,12847
Buenos Aires,LANUS,146.0,28133,116.0,44506,114.0,39855,460081
Buenos Aires,MAR CHIQUITA,29.0,2519,26.0,3622,11.0,3044,32973
Buenos Aires,LOBOS,49.0,3294,35.0,4668,15.0,4035,41418
Buenos Aires,BERISSO,26.0,7704,28.0,11779,26.0,9722,100685
Buenos Aires,GENERAL LAVALLE,13.0,419,9.0,636,3.0,493,4846
Buenos Aires,SAN ISIDRO,142.0,17057,90.0,26323,87.0,25052,295978
Buenos Aires,TORDILLO,6.0,244,5.0,298,1.0,231,2528
Catamarca,SANTA ROSA,7.0,1154,25.0,1476,8.0,1361,13317
Córdoba,GENERAL SAN MARTIN,82.0,12494,80.0,16719,35.0,13699,152397
Córdoba,RIO SEGUNDO,64.0,8823,73.0,12120,46.0,10358,113311
Córdoba,MARCOS JUAREZ,69.0,7791,82.0,10712,35.0,9015,107286
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,33.0,2907,33.0,4130,15.0,3526,37551
